연도,시군구,법정동코드,총 인구,고령자 수,고령자 비율 (%),시군구명
2024,부산광역시 사상구,2653000000,198635,48490,24.4,부산광역시 사상구
2024,부산광역시 기장군,2671000000,175626,34328,19.5,부산광역시 기장군
2024,대구광역시 중구,2711000000,97711,17988,18.4,대구광역시 중구
2024,대구광역시 동구,2714000000,342339,80902,23.6,대구광역시 동구
2024,대구광역시 서구,2717000000,163135,45225,27.7,대구광역시 서구
2024,대구광역시 남구,2720000000,136263,37735,27.7,대구광역시 남구
2024,대구광역시 북구,2723000000,413010,78162,18.9,대구광역시 북구
2024,대구광역시 수성구,2726000000,409107,79184,19.4,대구광역시 수성구
2024,대구광역시 달서구,2729000000,522021,100449,19.2,대구광역시 달서구
2024,대구광역시 달성군,2771000000,257580,42982,16.7,대구광역시 달성군
2024,대구광역시 군위군,2772000000,22463,10629,47.3,대구광역시 군위군
2024,인천광역시 중구,2811000000,167113,26621,15.9,인천광역시 중구
2024,인천광역시 동구,2814000000,58296,15804,27.1,인천광역시 동구
2024,인천광역시 미추홀구,2817700000,412274,84471,20.5,인천광역시 미추홀구
2024,인천광역시 연수구,2818500000,400213,52160,13,인천광역시 연수구
2024,인천광역시 남동구,2820000000,486225,91471,18.8,인천광역시 남동구
2024,인천광역시 부평구,2823700000,493200,93125,18.9,인천광역시 부평구
2024,인천광역시 계양구,2824500000,280227,51136,18.2,인천광역시 계양구
2024,인천광역시 서구,2826000000,634064,84811,13.4,인천광역시 서구
2024,인천광역시 강화군,2871000000,69402,27022,38.9,인천광역시 강화군
2024,인천광역시 옹진군,2872000000,19996,6748,33.7,인천광역시 옹진군
2024,광주광역시 동구,2911000000,106203,25071,23.6,광주광역시 동구
2024,광주광역시 서구,2914000000,279050,50571,18.1,광주광역시 서구
2024,광주광역시 남구,2915500000,207597,44551,21.5,광주광역시 남구
2024,광주광역시 북구,2917000000,423961,79388,18.7,광주광역시 북구
2024,광주광역시 광산구,2920000000,391611,47399,12.1,광주광역시 광산구
2024,대전광역시 동구,3011000000,218513,50056,22.9,대전광역시 동구
2024,대전광역시 중구,3014000000,225008,52849,23.5,대전광역시 중구
2024,대전광역시 서구,3017000000,457951,75614,16.5,대전광역시 서구
2024,대전광역시 유성구,3020000000,369468,45571,12.3,대전광역시 유성구
2024,대전광역시 대덕구,3023000000,168217,35155,20.9,대전광역시 대덕구
2024,울산광역시 중구,3111000000,207000,42004,20.3,울산광역시 중구
2024,울산광역시 남구,3114000000,304885,50834,16.7,울산광역시 남구
2024,울산광역시 동구,3117000000,150836,27409,18.2,울산광역시 동구
2024,울산광역시 북구,3120000000,216522,25461,11.8,울산광역시 북구
2024,울산광역시 울주군,3171000000,218806,42994,19.6,울산광역시 울주군
2024,세종특별자치시,3611000000,390685,45301,11.6,세종특별자치시
2024,경기도 수원시,4111000000,1193005,168322,14.1,경기도 수원시
2024,경기도 성남시,4113000000,913009,161299,17.7,경기도 성남시
2024,경기도 의정부시,4115000000,461271,87072,18.9,경기도 의정부시
2024,경기도 안양시,4117000000,556492,97448,17.5,경기도 안양시
2024,경기도 부천시,4119000000,769918,144277,18.7,경기도 부천시
2024,경기도 광명시,4121000000,278167,49660,17.9,경기도 광명시
2024,경기도 평택시,4122000000,598556,82782,13.8,경기도 평택시
2024,경기도 동두천시,4125000000,86838,22464,25.9,경기도 동두천시
2024,경기도 안산시,4127000000,620579,94262,15.2,경기도 안산시
2024,경기도 고양시,4128000000,1070120,184451,17.2,경기도 고양시
2024,경기도 과천시,4129000000,85512,12816,15,경기도 과천시
2024,경기도 구리시,4131000000,186882,33143,17.7,경기도 구리시
2024,경기도 남양주시,4136000000,732482,129635,17.7,경기도 남양주시
2024,경기도 오산시,4137000000,242065,29606,12.2,경기도 오산시
2024,경기도 시흥시,4139000000,518132,65152,12.6,경기도 시흥시
2024,경기도 군포시,4141000000,255931,46533,18.2,경기도 군포시
2024,경기도 의왕시,4143000000,154488,27980,18.1,경기도 의왕시
2024,경기도 하남시,4145000000,329120,50742,15.4,경기도 하남시
2024,경기도 용인시,4146000000,1085864,175717,16.2,경기도 용인시
2024,경기도 파주시,4148000000,511308,83569,16.3,경기도 파주시
2024,경기도 이천시,4150000000,222443,39307,17.7,경기도 이천시
2024,경기도 안성시,4155000000,193949,40838,21.1,경기도 안성시
2024,경기도 김포시,4157000000,486853,76654,15.7,경기도 김포시
2024,경기도 화성시,4159000000,968821,105701,10.9,경기도 화성시
2024,경기도 광주시,4161000000,397605,69176,17.4,경기도 광주시
2024,경기도 양주시,4163000000,289005,50616,17.5,경기도 양주시
2024,경기도 포천시,4165000000,141463,37242,26.3,경기도 포천시
2024,경기도 여주시,4167000000,114610,30535,26.6,경기도 여주시
2024,경기도 연천군,4180000000,40866,13432,32.9,경기도 연천군
2024,경기도 가평군,4182000000,62527,19831,31.7,경기도 가평군
2024,경기도 양평군,4183000000,126804,39341,31,경기도 양평군
2024,충청북도 청주시,4311000000,854537,142688,16.7,충청북도 청주시
2024,충청북도 충주시,4313000000,207241,50480,24.4,충청북도 충주시
